,parcelid,square_feet,bedrooms,bathrooms,yearbuilt,fips,lot_size,tax_value
0,12177905,2376.0,4.0,3.0,1970.0,6037.0,13038.0,145143.0
1,10887214,1312.0,3.0,3.0,1964.0,6037.0,278581.0,119407.0
2,12095076,2962.0,4.0,3.0,1950.0,6037.0,63000.0,773303.0
3,12069064,738.0,2.0,1.0,1922.0,6037.0,4214.0,218552.0
4,12790562,3039.0,4.0,3.0,1970.0,6037.0,20028.0,220583.0
5,11542646,1290.0,2.0,3.0,1980.0,6037.0,54048.0,371361.0
6,11104527,2540.0,4.0,3.0,1999.0,6037.0,10384.0,430108.0
7,12045625,1435.0,3.0,3.0,1981.0,6037.0,45171.0,259197.0
8,11830315,1146.0,2.0,1.0,1939.0,6037.0,4657.0,273745.0
9,12325145,1092.0,3.0,2.0,1979.0,6037.0,36005.0,178646.0
10,11706737,1316.0,2.0,1.0,1908.0,6037.0,5091.0,171838.0
11,11671335,2126.0,2.0,3.0,1983.0,6037.0,221601.0,573247.0
12,12531488,1641.0,3.0,1.0,1944.0,6037.0,5302.0,432754.0
13,11130689,1538.0,3.0,2.0,1972.0,6037.0,5997.0,401399.0
14,12036177,1851.0,3.0,2.0,1920.0,6037.0,6714.0,85035.0
15,12713253,2447.0,4.0,3.0,1967.0,6037.0,7911.0,1083000.0
16,11680471,3641.0,3.0,3.0,1980.0,6037.0,183383.0,1444248.0
17,12155445,3572.0,5.0,4.0,1967.0,6037.0,20148.0,1473080.0
18,10891778,1480.0,2.0,3.0,2009.0,6037.0,,367967.0
19,10852826,2637.0,3.0,3.0,1952.0,6037.0,8968.0,833227.0
20,10871883,1818.0,5.0,2.0,1948.0,6037.0,7499.0,166428.0
21,10900115,3160.0,4.0,3.0,1941.0,6037.0,16506.0,691816.0
22,11737342,1529.0,2.0,2.0,1928.0,6037.0,3640.0,657099.0
23,12106936,1447.0,3.0,2.0,1901.0,6037.0,7283.0,70755.0
24,12105191,829.0,2.0,2.0,1991.0,6037.0,16378.0,276147.0
25,11740609,1110.0,2.0,3.0,2006.0,6037.0,8500.0,563000.0
26,11405344,872.0,3.0,1.0,1922.0,6037.0,5566.0,248916.0
27,13043344,5492.0,4.0,5.0,2006.0,6037.0,67316.0,1814004.0
28,11036179,2317.0,4.0,3.0,1953.0,6037.0,8703.0,309821.0
29,13038483,1660.0,2.0,2.0,1987.0,6037.0,1224.0,341921.0
30,10828742,1815.0,3.0,2.0,1958.0,6037.0,10311.0,103293.0
31,13022358,609.0,2.0,1.0,1948.0,6037.0,8997.0,162320.0
32,13007403,2380.0,3.0,3.0,1991.0,6037.0,9960.0,654279.0
33,12464464,1814.0,2.0,2.0,1962.0,6037.0,5372.0,310117.0
34,12691507,440.0,0.0,1.0,1973.0,6037.0,433845.0,260000.0
35,12840475,928.0,2.0,1.0,1948.0,6037.0,13360.0,241624.0
36,13091973,1463.0,3.0,2.0,1984.0,6037.0,12113.0,200726.0
37,11016518,1625.0,4.0,2.0,1956.0,6037.0,8427.0,97097.0
38,11782783,1820.0,3.0,3.0,2006.0,6037.0,71332.0,853937.0
39,11018202,812.0,2.0,1.0,1917.0,6037.0,7150.0,40746.0
40,10808296,2406.0,3.0,3.0,1979.0,6037.0,7245.0,605540.0
41,11023776,776.0,2.0,1.0,1946.0,6037.0,7055.0,164836.0
42,12871444,1059.0,3.0,2.0,1955.0,6037.0,7215.0,187119.0
43,12879860,1046.0,2.0,1.0,1885.0,6037.0,,232000.0
44,13069118,5900.0,5.0,4.0,1989.0,6037.0,35174.0,737397.0
45,13055657,5823.0,5.0,5.0,1998.0,6037.0,10010.0,852836.0
46,12481281,1457.0,3.0,2.0,1944.0,6037.0,5457.0,334119.0
47,10736968,3721.0,4.0,4.0,1963.0,6037.0,50708.0,1289594.0
48,11154042,662.0,1.0,1.0,1984.0,6037.0,91867.0,96318.0
49,10935174,1607.0,3.0,2.0,1939.0,6037.0,10520.0,963231.0
